City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,puerto vallarta,20.6204,-105.2307,27.95,83,20,2.57,MX,1698028548
235,willows,39.5243,-122.1936,17.06,87,98,5.08,US,1698028548
236,dzuunmod,48.2199,97.3744,7.2,32,49,2.35,MN,1698028549
237,el bolson,-41.9667,-71.5167,9.62,91,57,1.32,AR,1698028549
238,oyama,36.3,139.8,18.66,33,96,0.67,JP,1698028549
239,vilyuchinsk,52.9306,158.4028,8.15,78,77,3.27,RU,1698028549
240,mount pearl,47.5166,-52.7813,8.51,96,100,6.17,CA,1698028550
241,kone,-21.0595,164.8658,27.37,47,39,3.73,NC,1698028550
242,mirador,-6.3708,-44.3631,27.83,50,100,1.11,BR,1698028550
243,alofi,-19.0595,-169.9187,24.94,94,61,4.12,NU,1698028550
244,belyy yar,53.6039,91.3903,3.94,81,40,2.0,RU,1698028551
245,goulburn,-34.75,149.7167,19.32,29,24,2.24,AU,1698028437
246,trairi,-3.2778,-39.2689,25.54,81,76,4.99,BR,1698028462
247,vanino,49.0869,140.2543,7.1,36,1,3.91,RU,1698028551
248,price,39.5994,-110.8107,16.59,23,75,3.09,US,1698028551
249,sabang,5.8933,95.3214,27.69,73,99,1.75,ID,1698028552
250,villa dolores,-31.9459,-65.1896,21.49,85,35,3.53,AR,1698028552
251,ilinge,-31.9768,27.0427,8.05,87,84,1.37,ZA,1698028552
252,springbok,-29.6643,17.8865,13.34,57,4,1.43,ZA,1698028552
253,zhangye,38.9342,100.4517,15.67,17,0,3.41,CN,1698028552
254,mount isa,-20.7333,139.5,33.87,12,0,3.09,AU,1698028553
255,new norfolk,-42.7826,147.0587,18.29,55,77,3.73,AU,1698028553
256,williamsburg,37.2707,-76.7075,14.85,68,0,4.12,US,1698028553
257,sibanicu,21.235,-77.5264,24.25,91,99,3.14,CU,1698028554
258,dudinka,69.4058,86.1778,-3.54,88,100,3.94,RU,1698028554
259,hyderabad,17.3753,78.4744,25.23,57,40,1.54,IN,1698028554
260,port blair,11.6667,92.75,29.02,79,20,1.03,IN,1698028554
261,kavaratti,10.5669,72.642,28.3,73,100,2.3,IN,1698028554
262,salor,41.3722,69.3817,13.4,88,100,2.06,UZ,1698028555
263,puerto deseado,-47.7503,-65.8938,7.84,71,0,2.91,AR,1698028555
264,naze,28.3667,129.4833,24.51,60,27,4.21,JP,1698028555
265,mammoth lakes,37.6485,-118.9721,6.4,67,0,6.69,US,1698028555
266,rimouski,48.4488,-68.524,8.1,71,100,5.96,CA,1698028423
267,vernon,50.2581,-119.2691,9.86,79,0,0.51,CA,1698028518
268,kiel,54.3213,10.1349,8.28,87,40,2.57,DE,1698028556
269,kaa-khem,51.6833,94.7333,7.5,56,76,2.18,RU,1698028556
270,strezhevoy,60.7333,77.5889,-2.3,81,9,2.96,RU,1698028556
271,cuauhtemoc,28.4167,-106.8667,11.52,83,100,1.49,MX,1698028354
272,brookings,44.3114,-96.7984,12.32,62,20,4.12,US,1698028310
273,aitape,-3.1374,142.3475,29.94,72,94,2.02,PG,1698028557
274,greenville,35.6127,-77.3663,15.08,73,0,0.45,US,1698028340
275,kupang,-10.1667,123.5833,32.32,51,20,3.6,ID,1698028557
276,port-vila,-17.7338,168.3219,25.78,78,100,6.17,VU,1698028523
277,fetsund,59.929,11.1625,4.21,99,100,1.55,NO,1698028558
278,isangel,-19.55,169.2667,28.06,65,75,10.29,VU,1698028558
279,chilpancingo,17.55,-99.5,18.29,96,95,1.6,MX,1698028458
280,nadi,-17.8,177.4167,30.0,66,75,6.69,FJ,1698028558
281,caras,-9.0467,-77.8114,18.05,85,89,0.46,PE,1698028559
282,norilsk,69.3535,88.2027,-3.65,91,99,5.92,RU,1698028559
283,bukama,-9.2,25.85,21.6,90,43,1.38,CD,1698028559
284,san isidro,-12.1167,-77.05,20.56,81,0,5.14,PE,1698028559
285,vytegra,61.0064,36.4481,-1.0,93,99,1.02,RU,1698028559
286,mount gambier,-37.8333,140.7667,20.01,34,41,1.85,AU,1698028560
287,tindouf,27.6711,-8.1474,20.98,67,100,3.22,DZ,1698028560
288,magomeni,-6.8,39.25,23.91,82,8,1.42,TZ,1698028560
289,tazovsky,67.4667,78.7,-3.98,88,100,5.98,RU,1698028560
290,green river,41.5286,-109.4662,15.22,40,72,3.13,US,1698028561
291,san patricio,28.017,-97.5169,27.13,77,39,4.93,US,1698028561
292,marka,1.7159,44.7717,25.76,82,8,2.59,SO,1698028561
293,senador jose porfirio,-2.5908,-51.9542,24.66,88,61,1.58,BR,1698028561
294,weno,7.4515,151.8468,29.97,79,75,2.06,FM,1698028561
295,marmaris,36.855,28.2742,22.28,47,2,2.09,TR,1698028562
296,oamaru,-45.0784,170.9801,12.51,76,84,6.01,NZ,1698028562
297,san juan,-31.5375,-68.5364,20.95,56,69,7.21,AR,1698028264
298,saqqez,36.2499,46.2735,8.64,72,76,0.45,IR,1698028549
299,aoulef,26.9667,1.0833,28.27,25,1,4.26,DZ,1698028562
300,olonkinbyen,70.9221,-8.7187,3.2,89,100,5.82,SJ,1698028563
